Child_Name,Ancestor_Name,Edit_Distance,sum
Josephine,Josphine,1,63
Nanny,Ann,2,63
Anne,Andre,2,63
Antje,Ate,2,63
Frericks,Frerick,1,63
Teunisdr,Teunis,2,63
Andreas,Andrea,1,63
Robert,Bert,2,63
Angela,Angelo,1,63
Marin,Marie,1,63
Ina,Ida,1,63
Ian,Ann,2,63
Nellie,Sallie,2,63
Ann,Anton,2,63
Elizabet,Elizabeth,1,63
Hubertus,Huberta,2,63
Nellie,Nettie,2,63
Izaak,Izak,1,63
Hugh,Ruth,2,63
Vance,Nancy,2,63
Elizebeth,Elizabeth,1,63
Judic,Judith,2,60
Mathilda,Mathilde,1,60
Ray,Ira,2,60
Katy,Mary,2,60
Lily,Lucy,2,60
Katrine,Cathrine,2,60
Raquel,Rafael,2,60
Oliver,Olive,1,60
Adriaans,Adriaan,1,60
Cornelis,Kornelia,2,60
Juan,Julian,2,60
Jennie,Jessie,2,60
Berend,Beerend,1,60
Lara,Mary,2,60
Leona,Leon,1,60
Kezia,Keziah,1,60
Abel,Abels,1,60
Lillie,Sallie,2,60
Ji,Jan,2,60
Eula,Emma,2,60
Marcin,Maria,2,60
Lee,Lela,2,60
Erma,Emma,1,60
Jesaja,Jesaya,1,60
Uiltjes,Uiltje,1,60
Erica,Eric,1,60
Marita,Maria,1,60
Josina,Jozina,1,60
Gerardus,Gerard,2,60
Klaasz,Klaas,1,60
Jeremia,Jeremias,1,60
Georgina,Orgina,2,60
Erna,Ernst,2,60
Rueben,Reuben,2,60
Male,Marie,2,60
Emma,Edna,2,60
Mehitable,Mehitabel,2,60
Lusie,Lucia,2,60
Christoffersen,Kristoffersen,2,60
Maria,Marte,2,60
Hendrikje,Hendrickje,1,60
Martha,Mara,2,60
Vance,Jane,2,60
Mae,Joe,2,60
Sakes,Sake,1,60
Gotlieb,Gottlieb,1,60
Ruurd,Ruurt,1,60
Murks,Murcks,1,60
Arents,Arent,1,60
Ivy,May,2,60
Leslie,Lillie,2,60
Wessels,Wessel,1,60
Dirk,Erk,2,60
Henry,Henrik,2,60
Jacobje,Jacobs,2,60
Roy,Ruby,2,60
Per,Peder,2,60
Maria,Maryna,2,60
Marte,Berte,2,60
Elvira,Eliza,2,60
Cornelisdr,Cornelisz,2,60
Jdr,Jan,2,60
Gustave,Gustav,1,60
Victoria,Victor,2,60
Emilie,Emily,2,60
Julia,Celia,2,60
Cornelisz,Cornelisdr,2,60
Roelefs,Roelof,2,60
Jannes,Janna,2,60
Johannesdr,Johannes,2,60
Bernard,Bernd,2,60
Kristian,Kristine,2,60
Polly,Molly,1,60
Amos,Amy,2,60
Billie,Willie,1,57
Willie,Mollie,2,57
Gertruda,Gertrudis,2,57
Caroline,Karolina,2,57
Nicolas,Nicolaus,1,57
Nellie,Lillie,2,57
Lambert,Albert,2,57
Lena,Lisa,2,57
Claire,Claude,2,57
Leendertse,Leendert,2,57
Michael,Michal,1,57
Kornelia,Cornelia,1,57
Isaac,Isaiah,2,57
Pieter,Pietje,2,57
Luigi,Luigia,1,57
Annie,Addie,2,57
Lula,Ella,2,57
Rijpkes,Rijpke,1,57
Josef,Jose,1,57
Isaiah,Isaac,2,57
Amelia,Amalie,2,57
Eliza,Celia,2,57
Allie,Alice,2,57
Jones,Jane,2,57
Jone,John,2,57
Ella,Edna,2,57
Sally,Sallie,2,57
Ellis,Ellen,2,57
Albertsz,Albert,2,57
Albertje,Albertjen,1,57
Jens,Jon,2,57
Wilhelmina,Wilhemina,1,57
Soren,Maren,2,57
Johan,Jean,2,57
Margarete,Margrethe,2,57
Joe,Mae,2,57
Stientje,Stijntje,1,57
Hettes,Hette,1,57
Markus,Marcus,1,57
Olive,Olivia,2,57
Katharina,Catharine,2,57
Ariaantje,Adriaantje,1,57
Marvin,Maria,2,57
Beatriz,Beatrice,2,57
Hendricksz,Hendrick,2,57
Beenes,Beene,1,57
Kirstine,Kristine,2,57
Hattie,Mattie,1,57
Willie,Will,2,57
Vera,Nora,2,57
Francis,Francoise,2,54
Mere,Mary,2,54
Mae,Mamie,2,54
Theodore,Theodor,1,54
Magrietha,Magrieta,1,54
Lillie,Willie,1,54
Ferdinand,Ferdinande,1,54
Frhr,Frh,1,54
Faye,Mae,2,54
Thodore,Theodore,1,54
Merle,Marie,2,54
Ephraim,Ephriam,2,54
Margaretha,Margarietha,1,54
Clmentine,Clementine,1,54
Eva,Edna,2,54
Mathias,Matias,1,54
Georgine,George,2,54
Margeret,Margaret,1,54
Mary,Marcy,1,54
Maria,Matea,2,54
Diedrich,Dieterich,2,54
Fredrieka,Frederika,2,54
Dirk,Durk,1,54
Friederieke,Friderieke,1,54
Luissa,Louisa,2,54
Luiten,Luite,1,54
Earl,Karl,1,54
Louisa,Luiza,2,54
Lusa,Luiza,2,54
Mattson,Matts,2,54
Conrad,Cord,2,54
Franoise,Francis,2,54
Eli,Ole,2,54
Claas,Claes,1,54
Lola,Cora,2,54
Gary,Amy,2,54
Fransie,Frans,2,54
Gerrigje,Gerritje,1,54
Csar,Dsir,2,54
Madeleine,Magdelaine,2,54
Fredrikke,Frederikke,1,54
Mathilde,Mathildre,1,54
Izak,Isaak,2,54
Etrezia,Tresia,2,54
Rd,Kd,1,54
John,Johane,2,54
Willie,Willem,2,54
Ole,Alf,2,54
Herta,Bertha,2,54
Ola,Ida,2,54
Julia,Jurie,2,54
Lee,Liz,2,54
Samuel,Samul,1,54
Hanson,Hans,2,54
Benedicte,Benedicta,1,54
Jelles,Hilles,2,54
Nora,Cora,1,54
Klementine,Clementine,1,54
Nilsen,Olsen,2,54
Ano,Ana,1,54
Jan,Jdr,2,54
Viola,Vivia,2,54
Rae,Reed,2,54
Judith,Judick,2,54
Hanne,Hanna,1,54
Ragnhild,Ragnild,1,54
Willie,Willis,1,54
Baptista,Baptist,1,54
Aida,Anna,2,54
Henrikke,Henriksen,2,54
Jantje,Anje,2,54
Arensen,Jensen,2,54
Perrine,Prrine,1,54
Henrikka,Henricha,2,54
Armel,Marcel,2,54
Arnoldus,Arnoldi,2,54
Roy,Lou,2,54
Arnt,Marit,2,54
Henrikke,Henrik,2,54
Paul,Maud,2,54
Babe,Jane,2,54
Kalle,Ville,2,54
Aurelie,Aurelius,2,54
Agusta,Gustaf,2,54
Phillippus,Philipps,2,54
Phillipus,Phillip,2,54
Pier,Piers,1,54
Hermann,Hermine,2,54
Jurgina,Jurgen,2,54
Axel,Ane,2,54
Hlne,Helene,2,54
Peters,Pieter,2,54
Vitus,Viti,2,54
Wybes,Wybe,1,54
Ren,Rene,1,54
Jesse,Bessie,2,54
Ida,Alida,2,54
Staden,Stade,1,54
Grant,Frank,2,54
Ivy,Lily,2,54
Ignatia,Ignatius,2,54
Bouwes,Bouwe,1,54
Gjertrud,Giertrud,1,54
Aarnoud,Arnoud,1,54
Alfrida,Alfred,2,54
Rita,Ida,2,54
Mira,Mary,2,54
Aaltje,Aeltjen,2,54
Napolone,Napolon,1,54
Grgoria,Grgorio,1,54
Betsey,Betsy,1,54
Gijsbertsz,Gijsbert,2,54
Ghislaine,Ghislain,1,54
Nicolas,Nicolaas,1,54
Trijntje,Trijnje,1,54
Abrahamsz,Abraham,2,54
Alta,Ella,2,54
Anna,Andr,2,54
Aletha,Alettha,1,54
Aleid,Alida,2,54
Minna,Hanna,2,54
Bouwe,Bouwes,1,54
Dea,Jean,2,51
Elise,Elias,2,51
Jorisz,Joris,1,51
Derk,Derck,1,51
Alle,Alles,1,51
Franzes,Frans,2,51
Rudolph,Rudolphus,2,51
Elses,Elze,2,51
Elisha,Eliza,2,51
Marvin,Martin,1,51
Alewyn,Alwyn,1,51
Roy,Ivy,2,51
Deborah,Debora,1,51
Maria,Marija,1,51
Marie,Sadie,2,51
Irene,Irena,1,51
Dorthe,Dorte,1,51
Jakobs,Jacobs,1,51
Dora,Sara,2,51
Anna,Arnt,2,51
Donald,Dugald,2,51
Petra,Peter,2,51
Vera,Dora,2,51
Julia,Julian,1,51
Wilbert,Albert,2,51
Lucy,Lucia,2,51
Willaim,William,2,51
Ann,Annis,2,51
Dirkse,Dirk,2,51
Ina,Ada,2,51
Maria,Mario,1,51
Alan,Ada,2,51
Anne,Hanna,2,51
Dirkie,Dirkje,1,51
Pieterke,Pieters,2,51
Hermannus,Harmannus,1,51
Andrew,Andries,2,51
Hilma,Hilda,1,51
Dana,Jane,2,51
Marie,Mara,2,51
Obediah,Obadiah,1,51
Murks,Murk,1,51
Cornelis,Cornelus,1,51
Margareta,Margaret,1,51
Geesje,Geesjen,1,51
Geessien,Geesjen,2,51
Christena,Christina,1,51
Bell,Belle,1,51
Klaas,Klaaske,2,51
Lila,Ida,2,51
Jeens,Jeen,1,51
Ulbes,Ulbe,1,51
Geertruida,Geertruit,2,51
Lida,Eliza,2,51
Cora,Flora,2,51
Feijes,Feije,1,51
Jessie,Elsie,2,51
Violet,Viola,2,51
Margit,Maria,2,51
Nannie,Fannie,1,51
Siri,Sara,2,51
Hanna,Karna,2,51
Clare,Clara,1,51
Stephen,Stephan,1,51
Adelheid,Adelheit,1,51
Carin,Karin,1,51
Carol,Earl,2,51
Michal,Michael,1,51
Ester,Petter,2,51
Margaret,Margareta,1,51
Eugne,Eugene,1,51
Leentje,Lientje,1,51
Mary,Fay,2,51
Emile,Emilie,1,51
Ates,Ate,1,51
Ove,Ane,2,51
Jean,Jeanie,2,51
Sijmons,Sijmon,1,51
Glen,Glenn,1,51
Carlos,Carlo,1,51
Simons,Simon,1,51
Flora,Dora,2,51
Joachim,Joakim,2,51
Carlos,Charles,2,51
Rypkes,Rijpkes,2,48
Ruurds,Ruurt,2,48
Erdmuthe,Erdmutha,1,48
Ellenor,Ellen,2,48
Aletta,Aletha,1,48
Sophia,Sophi,1,48
Srup,Sren,2,48
Stark,Starkey,2,48
Ruurdje,Ruurd,2,48
Aline,Elise,2,48
Eskelss,Eskelsd,1,48
Ella,Melia,2,48
Erma,Ella,2,48
Ella,Lula,2,48
Aalbertse,Aelbertsen,2,48
Ales,Ale,1,48
Aelbertsz,Aelbertsen,2,48
Erck,Erckel,2,48
Aeltge,Aaltje,2,48
Simon,Simeon,1,48
Simon,Sijmons,2,48
Mari,Karl,2,48
Simeon,Simon,1,48
Aert,Aertse,2,48
Maria,Marcial,2,48
Elsie,Elsen,2,48
Aizes,Aize,1,48
Sijmen,Sijmon,1,48
Emil,Emilia,2,48
Sieger,Syger,2,48
Maria,Barta,2,48
Sieka,Sieke,1,48
Elvi,Olli,2,48
Elsebe,Else,2,48
Emily,Emil,1,48
Adeline,Adaline,1,48
Aelbert,Albert,1,48
Enoch,Noah,2,48
Adle,Anne,2,48
Sixta,Rita,2,48
Margarite,Margaret,2,48
Salmina,Salomina,1,48
Adriaansz,Adriaan,2,48
Aldert,Aeildert,2,48
Simons,Simonsz,1,48
Adriaen,Adriaens,1,48
Sape,Sapes,1,48
Alan,Alden,2,48
Adriaen,Adriaense,2,48
Aka,Ann,2,48
Emlien,Elie,2,48
Margit,Marita,2,48
Michiel,Michiels,1,48
Marie,Mamie,1,48
Mata,Maria,2,48
William,Gillam,2,48
Nilsdtr,Olsdtr,2,48
Mats,Matths,2,48
Matje,Mattje,1,48
Matje,Aaltje,2,48
Concepcion,Concepcin,1,48
Willie,Ollie,2,48
Norma,Cora,2,48
Bengtss,Bengt,2,48
Ben,Jan,2,48
Bastiaan,Bastiaans,1,48
Elisabetha,Elisabet,2,48
Olga,Olof,2,48
Barney,Harvey,2,48
Barend,Barents,2,48
Cornelisdr,Corneliszn,2,48
Onne,Ane,2,48
Axe,Ann,2,48
Cornelisse,Cornelissen,1,48
Onne,Knna,2,48
Ora,Dora,1,48
Cornelisse,Cornelisz,2,48
Berge,Berthe,2,48
Nikolaus,Nicolas,2,48
Berthe,Berte,1,48
Mattie,Maatje,2,48
Cathar,Caspar,2,48
Cesario,Cesreo,2,48
Carolus,Carol,2,48
Mette,Otte,2,48
Merle,Mercy,2,48
Mercy,Marcy,1,48
Mellema,Melle,2,48
Mehitabel,Mehitable,2,48
Mrta,Mats,2,48
Mees,Meesz,1,48
Bruce,Grace,2,48
Name,James,2,48
Brita,Marita,2,48
Christiansdatter,Christensdatter,2,48
Nannes,Nanne,1,48
Christina,Christena,1,48
Nannie,Minnie,2,48
Nathaniel,Nathanial,1,48
Taly,Mary,2,48
Blaise,Claire,2,48
Claesdr,Claesz,2,48
Cornelisz,Corneliszn,1,48
Paula,Paulus,2,48
Dana,Ann,2,48
Pieterz,Pieter,1,48
Annika,Anna,2,48
Marque,Marie,2,48
Rafael,Rafaela,1,48
Duane,Jane,2,48
Anna,Annes,2,48
Reinier,Reynier,1,48
Ebba,Elsa,2,48
Eddie,Edvise,2,48
Remt,Rempts,2,48
Angenietje,Agnietje,2,48
Reymert,Reijmert,2,48
Marinus,Marcus,2,48
Ritske,Ritskes,1,48
Marietje,Maritge,2,48
Roelofje,Roelofs,2,48
Ana,Hans,2,48
Roland,Rowland,1,48
Rosa,Cora,2,48
Elijah,Elias,2,48
Marie,Marta,2,48
Alwyn,Alewyn,1,48
Marta,Martha,1,48
Anthonie,Antonij,2,48
Perfecto,Perfecta,1,48
Pietersd,Pieters,1,48
Peter,Peeter,1,48
Danielina,Daniellina,1,48
Ariense,Arens,2,48
Dara,Mara,1,48
Marvin,Marion,2,48
Arent,Arents,1,48
Pettersdtr,Pedersdtr,2,48
Philippa,Philip,2,48
Philippina,Philipina,1,48
Denijsz,Denijs,1,48
Antonino,Antonia,2,48
Philips,Philipsdr,2,48
Dircks,Dirck,1,48
Antonetta,Anthonetta,1,48
Teunis,Teunisse,2,48
Anton,Anthony,2,48
Martens,Arjens,2,48
Dirkje,Dirks,2,48
Dirkje,Dirkse,1,48
Pieters,Peter,2,48
Anthonius,Antonius,1,48
Do,Jos,2,48
Joanna,Jeanne,2,48
Kathrine,Katrine,1,48
Hiltje,Hylkje,2,48
Jantje,Mattje,2,48
Gerhard,Everhard,2,48
Francois,Francis,1,48
Mae,Mabel,2,48
Johannes,Johannesz,1,48
Hindrik,Hindrick,1,48
Aafjen,Aafje,1,48
Jozeph,Josepha,2,48
Jozeph,Joseph,1,48
Libertus,Lambertus,2,48
Jans,Janszn,2,48
Johansson,Jransson,2,48
Lila,Eliza,2,48
Hs,Hans,2,48
Thomasen,Thomas,2,48
Hindricks,Hindrick,1,48
Jantjen,Jantje,1,48
Tjietse,Tjeets,2,48
Juel,Juan,2,48
Ulfert,Olfert,1,48
Foekes,Foeke,1,48
Magdelaine,Madeleine,2,48
Leendertsdr,Leenderts,2,48
Leendertsz,Leenderts,1,48
Lela,Ella,2,48
Fokken,Fokke,1,48
Gerritje,Gerritsz,2,48
Fokkes,Fokken,1,48
Magdalena,Magadalena,1,48
Jon,Joh,1,48
Francina,Francisca,2,48
Hielkje,Hylkje,2,48
Jules,Julia,2,48
Gerrebregje,Gerbregje,2,48
Huibrecht,Huibregt,2,48
Mads,Mari,2,48
Georg,Georgid,2,48
Geertruida,Geertruijda,1,48
Iversen,Evensen,2,48
Joost,Joosten,2,48
Luites,Luite,1,48
Frederick,Friederica,2,48
Luke,Lucy,2,48
Maaijke,Maeijke,1,48
Toms,Romn,2,48
Lus,Luisa,2,48
Jan,Ane,2,48
Jacobse,Jacobsz,1,48
Jacobse,Jobse,2,48
Frederich,Frederik,2,48
Jon,Jane,2,48
Jacomina,Salomina,2,48
Jon,Jens,2,48
Frantz,Frantzen,2,48
Wietse,Tietje,2,48
Fransse,Frans,2,48
Iva,Eva,1,48
Tholen,Thole,1,48
Geertje,Maertje,2,48
Garza,Mara,2,48
Ira,Eva,2,48
Lose,Rose,1,48
Irma,Mria,2,48
Jane,Joane,1,48
Lubbertsen,Lubbertsz,2,48
Mabel,Carel,2,48
Lourens,Louwrens,1,48
Maatje,Maarte,2,48
Louws,Douwe,2,48
John,Johnny,2,48
Wichers,Wijcher,2,48
Leendert,Leenders,1,48
Jake,James,2,48
Guy,May,2,48
Hemmo,Hemmen,2,48
Hendriks,Hendrikse,1,48
Tiemens,Timen,2,48
Joan,Jean,1,48
Guiseppe,Giuseppe,2,48
Gunderson,Gundersen,1,48
Jenson,Jens,2,48
Lars,Karl,2,48
Lars,Clas,2,48
Jochim,Joachim,1,48
Hendrica,Hendricus,2,48
Wilhelm,Wihelm,1,48
Klaasz,Claasz,1,48
Fanny,Fannie,2,48
Hendrich,Heinrich,2,48
Jenson,Jonson,1,48
Klz,Az,2,48
Jurjen,Aukjen,2,48
Lambertus,Albertus,2,48
Jilt,Jilts,1,48
Jesse,Jess,1,48
Hendrickse,Hendrick,2,48
Jeremiah,Jeremias,1,48
Knudson,Knutson,1,48
Kristian,Kristen,2,48
Eva,Ezra,2,48
Jensen,Hansen,2,48
Katharine,Katarina,2,48
Femmigje,Femmegjen,2,48
Tjaaktje,Tjaakje,1,48
Godfrey,Godfried,2,48
Helgaard,Hilgard,2,48
Henrica,Hinrich,2,48
Joane,Jane,1,48
Fenna,Fenne,1,48
Glaudina,Gloudina,1,48
Leander,Alexander,2,48
Helen,Helene,1,48
Fenje,Fenna,2,48
Kari,Mari,1,48
Gijsbertje,Gijsberts,2,48
Heeres,Heere,1,48
Gijsbert,Gijsbertje,2,48
Harmen,Harm,2,48
Jensdatter,Evensdatter,2,48
Friederich,Friederike,2,45
Ivan,Ida,2,45
Amalia,Amalie,1,45
Eeltjes,Eeltje,1,45
Helene,Helen,1,45
Dircks,Dirk,2,45
Amelie,Amlie,1,45
Benita,Benito,1,45
Harriette,Harriet,2,45
Nora,Rosa,2,45
Klases,Klaas,2,45
Wytzes,Wytze,1,45
Ole,Elen,2,45
Hendrica,Hendrika,1,45
Harriet,Harriot,1,45
Ludwig,Ludewig,1,45
Edna,Ezra,2,45
Belle,Bell,1,45
Ruby,Roy,2,45
Martin,Martinus,2,45
Alexander,Alexandre,2,45
Edgar,Edna,2,45
Iva,Ada,2,45
Michelle,Michel,2,45
Delia,Julia,2,45
Winnie,Annie,2,45
Matthys,Mattijs,2,45
Wolter,Wolters,1,45
Claas,Claesz,2,45
Bruno,Benno,2,45
Leona,Edna,2,45
Mavis,David,2,45
Annis,Ann,2,45
Hessel,Hessels,1,45
Christiaan,Christiaans,1,45
Leo,Lena,2,45
Charles,Carlos,2,45
Arend,Berend,2,45
Hermina,Harmina,1,45
Ara,Sarah,2,45
Carry,Mary,2,45
Antonina,Antonia,1,45
Michael,Michele,2,45
Claude,Claud,1,45
Clausen,Claus,2,45
Tina,Anna,2,45
Hendrikje,Hindrikje,1,45
Joseph,Joesph,2,45
Koert,Koerts,1,45
Andriesse,Andries,2,45
Joseph,Jospeh,2,45
Vito,Vita,1,45
Haikes,Hayke,2,45
Eugene,Eugenie,1,45
Susannah,Susanah,1,45
Lammert,Lambert,1,45
Tietes,Tiete,1,45
Lieuwe,Lieuwes,1,45
Sybrens,Sybren,1,45
Vicente,Vicenta,1,45
Wouter,Wouters,1,45
Hendrika,Henrica,2,45
Boelmans,Boelman,1,45
Ray,Roy,1,45
Christian,Kristian,2,45
Nicolaus,Nicolas,1,45
Wilhemina,Wilhelmina,1,45
Elmira,Almira,1,45
Sarie,Maria,2,45
Margrethe,Margarethe,1,45
Folkert,Folkerts,1,45
Marguerite,Margueritte,1,45
Maria,Mria,1,45
Jns,Mns,1,45
Simonsz,Simon,2,45
Maarten,Maartensz,2,45
Marie,Csarie,2,45
Johann,Joanna,2,45
John,Joy,2,45
Elsbeth,Elisabeth,2,45
Eugnie,Eugne,1,45
Johanna,Johannah,1,45
Albertus,Alberta,2,45
Maria,Marina,1,45
Eriksson,Ersson,2,45
Maddalana,Maddelana,1,45
Wikkes,Wikke,1,45
Maggie,Mattie,2,42
Julie,Lucie,2,42
Simonss,Simon,2,42
Ary,Arij,2,42
Clair,Clara,2,42
Andreas,Andrew,2,42
Geertje,Gerritje,2,42
Ida,Hilda,2,42
Antinpoika,Matinpoika,2,42
Lena,Edna,2,42
Adamsz,Adam,2,42
Ian,Jean,2,42
William,Wiiliam,1,42
Hermanus,Harmanus,1,42
Pieterke,Pieter,2,42
Rinse,Rinze,1,42
Rinze,Rinzes,1,42
Maggie,Marie,2,42
Gabril,Gabriel,1,42
Daniel,Daniels,1,42
Gerritje,Gerritjen,1,42
Gabrielle,Gabriel,2,42
Lolkes,Lolke,1,42
Lon,John,2,42
Robt,Robert,2,42
Lonnie,Annie,2,42
Ira,Cora,2,42
Andries,Andriesz,1,42
Gary,Harry,2,42
Hermina,Hermiena,1,42
Franciskus,Franciscus,1,42
Nio,Gin,2,42
August,Augustin,2,42
Christoffer,Kristoffer,2,42
Una,Ann,2,42
Auguste,Augustine,2,42
Sikke,Sikkes,1,42
Hindricks,Hindrik,2,42
Mattss,Matts,1,42
Else,Ole,2,42
Gerlofs,Gerlof,1,42
Lesley,Leslie,2,42
Adrienne,Adrien,2,42
Srensen,Jrgensen,2,42
Evelyn,Eveline,2,42
Rae,Ray,1,42
Berents,Berend,2,42
Leon,Leo,1,42
Leon,Lena,2,42
Anthonie,Antonie,1,42
Abe,Abes,1,42
Hans,Ana,2,42
Ann,Nanny,2,42
Friedrich,Fredrich,1,42
Ottes,Otte,1,42
Meertens,Meerten,1,42
Leo,Lee,1,42
Ellen,Elmer,2,42
Hubert,Herbert,2,42
Ellis,Ella,2,42
Frank,Frans,1,42
Nora,Honora,2,42
Adriaen,Adriana,2,42
Leo,Leon,1,42
Nora,Dora,1,42
Viola,Violet,2,42
Jacquesse,Jacques,2,42
Anthonie,Anthonij,1,42
Jeanne,Janne,1,42
Mattie,Matthew,2,42
Jane,Jared,2,42
Ollie,Willie,2,42
Addie,Annie,2,42
Adle,Adlade,2,42
Sara,Clara,2,42
Nanningsz,Nanning,2,42
Mns,Jns,1,42
Erna,Emma,2,42
Nicholas,Nicolaus,2,42
Albert,Lambert,2,42
Earl,Sara,2,42
Ernest,Earnest,1,42
Samuel,Samuell,1,42
Aage,Anne,2,42
Amelia,Amalia,1,42
Doekles,Doekle,1,42
Dorte,Marte,2,42
Kirsten,Kirsti,2,42
Baptiste,Baptista,1,42
Ole,Olea,1,42
Donato,Donata,1,42
Dora,Cora,1,42
Susan,Susana,1,42
Peters,Pieters,1,42
Emmerentia,Emerentia,1,42
Luella,Ella,2,42
Britha,Brita,1,42
Emilie,Emile,1,42
Arends,Berends,2,42
Jacoba,Jakoba,1,42
Olaf,Ola,1,42
Haikes,Haike,1,42
Frederich,Friedrich,2,42
Solomon,Soloman,1,42
Mainardus,Meinardus,1,42
Tjerk,Tjerks,1,42
Willemse,Willems,1,42
Mariejosephte,Mariejosephe,1,42
Guro,Guri,1,42
Emilia,Emelia,1,42
Steven,Stevens,1,42
Jacobe,Jacob,1,42
Rosa,Dora,2,42
Marie,Paris,2,42
Hendrik,Henderik,1,42
Jenny,Jean,2,42
Nicolaas,Nicholas,2,42
Arisen,Aris,2,42
Dircksz,Dirck,2,42
Engelbertus,Engelbert,2,42
Friedericke,Friederike,1,42
Barend,Barent,1,42
Hendrik,Henrik,1,42
Hendricks,Henricus,2,39
Nathanial,Nathaniel,1,39
Leona,Leonard,2,39
Audrey,Andrew,2,39
Felicite,Flicit,2,39
Verna,Vernon,2,39
Margreta,Margareta,1,39
Susan,Susanne,2,39
Juha,Johan,2,39
Julia,Jules,2,39
Bonnie,Minnie,2,39
Leo,Leona,2,39
Margit,Marie,2,39
Phillippus,Philippus,1,39
Simon,Symon,1,39
Michael,Rachael,2,39
Antje,Antjen,1,39
Willy,Willem,2,39
Maria,Karna,2,39
Antnia,Antnio,1,39
Pearl,Paul,2,39
Hermanus,Hermannus,1,39
Fannie,Minnie,2,39
Bruijns,Bruijn,1,39
Susana,Susanna,1,39
William,Wlliam,1,39
Engels,Engel,1,39
Ada,Sara,2,39
Lambert,Lamberts,1,39
Berta,Berte,1,39
Male,Jane,2,39
Maria,Maija,2,39
Lela,Lee,2,39
Glenna,Glenn,1,39
Petrus,Peterus,1,39
Carl,Carin,2,39
Betsey,Betty,2,39
Nettie,Mattie,2,39
Anthony,Anthonie,2,39
Callie,Calvin,2,39
Cajsa,Maja,2,39
Paulusz,Paulus,1,39
Lena,Lee,2,39
Adolph,Rudolph,2,39
Nels,Niels,1,39
Fannie,Anne,2,39
Karin,Carin,1,39
Gerritje,Gerrigje,1,39
Anna,Minna,2,39
Janet,Jennet,2,39
Mattie,Maggie,2,39
Aino,Anna,2,39
Vanda,Anna,2,39
Aime,Anne,2,39
Ola,Ella,2,39
Martinus,Marinus,1,39
Anderssn,Anders,2,39
Dee,Lee,1,39
Louis,Floris,2,39
Katherina,Catharina,2,39
Dorothea,Dorathea,1,39
Isabel,Mabel,2,39
Jane,Jan,1,39
Erika,Eric,2,39
Tetje,Tettje,1,39
Frederick,Friederick,1,39
Gary,Carl,2,39
Susanna,Rosanna,2,39
Jo,Joe,1,39
Ira,Asa,2,39
Frans,Hans,2,39
Isabel,Isabell,1,39
Klaas,Klaasje,2,39
Ina,Eva,2,39
Viktoria,Viktor,2,39
Dora,Ira,2,39
Lucie,Lucy,2,39
Maartense,Maarten,2,39
Santa,Anna,2,39
Wybrens,Wybren,1,39
Rosie,Rosine,1,39
Joannis,Joannes,1,39
Kirstine,Kirsti,2,39
Eula,Ella,1,39
Dorathea,Dorothea,1,39
Derkje,Derk,2,39
Marie,Maggie,2,39
Margaret,Margarette,2,39
Ylaria,Maria,2,39
Joan,Johan,1,39
Elizabetta,Elizabeth,2,39
Louise,Lois,2,39
Diedrich,Dietrich,1,39
Ole,Tore,2,39
Rosa,Rita,2,39
